时间,代码位ID,代码位,APP,展现,点击,收入,点击收入,展现收入,eCPM,CPC,填充率(%),点击率(%)
20170912,4617362,天天新闻_Android_新闻底部_40002_3小图,天天新闻,5549,69,38.06,38.06,0,6.86,0.55,98.9,1.2
20170912,4617394,天天新闻_Android_相关新闻_40003_3小图,天天新闻,7501,98,53.42,53.42,0,7.12,0.55,98.4,1.3
20170912,4617419,天天新闻_Android_全部feeds_40001_3小图,天天新闻,100466,579,357.29,357.28,0.01,3.56,0.62,98.6,0.6
20170912,4617441,天天新闻_Android_Splash_50046_开屏,天天新闻,33255,4597,579.73,579.46,0.27,17.43,0.13,96.9,13.8
20170912,4659364,天天新闻_Android_新闻详情页底部悬浮_40007_600-300_1小图,天天新闻,104900,450,75.67,75.5,0.18,0.72,0.17,97.2,0.4
20170912,4672587,天天新闻_Android_全部feeds_41001_3小图_触宝包名,触宝电话,1213315,5423,11426.55,11426.51,0.04,9.42,2.11,99.9,0.4
20170912,4691399,天天新闻_Android_新闻详情页底部悬浮_41007_600-300_1小图,触宝电话,1007468,2628,3001.5,2992.36,9.14,2.98,1.14,99.9,0.3
20170912,4691408,天天新闻_Android_Splash_40000_开屏,触宝电话,291609,26557,2952.95,2943.67,9.29,10.13,0.11,92.3,9.1
20170912,4691508,天天新闻_Android_相关新闻_41003_3小图,触宝电话,86754,772,973.98,973.98,0,11.23,1.26,100,0.9
20170912,4691509,天天新闻_Android_新闻底部_41002_3小图,触宝电话,1585,11,10.09,10.09,0,6.36,0.92,99.9,0.7
20170912,4703298,天天新闻_Android_详情页底部三小图_41009_3小图,触宝电话,131783,432,477.04,477.03,0.01,3.62,1.1,99.9,0.3
20170912,4707904,天天新闻_Android_新闻详情页中新闻标题下方_41010_20-3,触宝电话,134363,348,1389.26,1386.87,2.39,10.34,3.99,99.8,0.3
20170912,4707905,天天新闻_Android_新闻详情页图1下方_41011_20-3,触宝电话,115790,186,513.56,505.97,7.59,4.44,2.76,99.7,0.2
