,0,1
0,,1198
1,！,1107
2,「,618
3,」,616
4,，,568
5,的,242
6,了,205
7,她,142
8,被,128
9,讓,121
10,他,118
11,：,110
12,歲,105
13,後,100
14,都,90
15,卻,89
16,網友,89
17,是,85
18,在,77
19,沒,59
20,到,58
21, ,55
22,人,51
23,年,50
24,我,42
25,發現,42
26,想到,41
27,說,37
28,就,37
29,要,35
30,看到,34
31,竟,33
32,你,31
33,媽媽,31
34,不,30
35,為,28
36,大,28
37,台灣,28
38,自己,28
39,正妹,27
40,看,27
41,大家,27
42,來,27
43,去,26
44,2,26
45,有,26
46,女兒,25
47,3,25
48,但,25
49,上,25
50,罵,25
51,10,25
52,如今,25
53,孩子,24
54,8,24
55,曝光,24
56,結果,23
57,把,23
58,錢,22
59,女子,22
60,好,22
61,男子,22
62,男友,21
63,老,21
64,萬,20
65,時,20
66,吃,20
67,最,20
68,闆,20
69,買,20
70,對,20
71,、,19
72,兒子,19
73,這,18
74,月,18
75,長,18
76,馬,18
77,下,18
78,跟,18
79,話,17
80,女友,17
81,真的,17
82,店員,17
83,才,17
84,個,17
85,得,17
86,從,17
87,也,16
88,死,16
89,嗆,16
90,當場,16
91,拿,16
92,一,15
93,老公,15
94,又,15
95,元,15
96,女,15
97,拍,15
98,笑,15
99,爸爸,14
100,瞬間,14
101,億,13
102,翻,13
103,出,13
104,嗎,13
105,原來,13
106,他們,13
107,不要,13
108,iPhone,13
109,找,13
110,6,13
111,小,13
112,讚,13
113,賺,13
114,超,13
115,想,13
116,竟然,12
117,臉,12
118,老婆,12
119,小孩,12
120,啊,12
121,會,12
122,多,12
123,照片,12
124,9,12
125,傻眼,12
126,掉,12
127,20,12
128,日本,12
129,突然,12
130,只,12
131,7,12
132,少女,11
133,一個,11
134,屁孩,11
135,陳,11
136,阿,11
137,做,11
138,15,11
139,一句,11
140,真相,11
141,直接,11
142,意外,11
143,打,11
144,怒,11
145,畫面,11
146,當年,11
147,奧客,11
148,與,10
149,見,10
150,4,10
151,開,10
152,這個,10
153,天,10
154,不是,10
155,5,10
156,12,10
157,東西,10
158,男,10
159,這樣,10
160,每天,10
161,19,9
162,很,9
163,這位,9
164,醫生,9
165,居然,9
166,打臉,9
167,娶,9
168,原因,9
169,和,9
170,於,9
171,爆,9
172,當,9
173,1,9
174,前,9
175,PO,9
176,著,9
177,因為,9
178,恐怖,8
179,警察,8
180,女孩,8
181,向,8
182,一直,8
183,再,8
184,請,8
185,不敢,8
186,結婚,8
187,跑,8
188,知道,8
189,哭,8
190,妙禪,8
191,女神,8
192,夜市,8
193,要求,8
194,崩潰,8
195,狂,8
196,16,8
197,郭台銘,8
198,太,8
199,年前,8
200,給,8
201,名,8
202,一起,8
203,女生,8
204,背,7
205,等,7
206,沒人,7
207,直呼,7
208,地,7
209,髮,7
210,富豪,7
211,火鍋,7
212,家人,7
213,18,7
214,隻,7
215,硬,7
216,監視器,7
217,所有人,7
218,父母,7
219,慘遭,7
220,啦,7
221,美國,7
222,現在,7
223,道歉,7
224,狠狠,7
225,揭穿,7
226,打開,7
