,cab,freq
0,，,27883
1,"
",18901
2,的,15273
3,。,7827
4,?,6431
5,了,4358
6,「,4350
7,」,4338
8,在,3895
9,是,3873
10,！,3641
11,、,3542
12, ,3084
13,有,2454
14,也,2144
15,她,2114
16,我,2058
17,他,2014
18,後,1825
19,都,1812
20,就,1669
21,：,1607
22,說,1488
23,人,1457
24,？,1339
25,為,1293
26,不,1278
27,於,1275
28,和,1271
29,來,1237
30,被,1167
31,你,1101
32,自己,1077
33,年,1035
34,讓,1016
35,對,1002
36,到,995
37,好,948
38,但,933
39,要,923
40,很,915
41,沒,909
42,-,905
43,大家,883
44,上,883
45,會,858
46,看,856
47,（,832
48,）,829
49,多,802
50,一個,757
51,可以,718
52,.,675
53,月,669
54,與,659
55,網友,637
56,去,624
57,趣味,623
58,而,608
59,分享,588
60,一起,584
61,呢,575
62,　,575
63,Ifunny,572
64,歲,563
65,卻,555
66,因為,554
67,中,554
68,時,546
69,想,539
70,就是,536
71,把,530
72,更,523
73,話,521
74,這個,521
75,…,516
76,新聞,512
77,知道,504
78,跟,503
79,又,492
80,文章,478
81,等,475
82,看看,456
83,吧,451
84,這樣,450
85,他們,438
86,從,435
87,真的,433
88,我們,419
89,表示,418
90,孩子,416
91,才,411
92,著,410
93,得,403
94,覺得,402
95,事,401
96,不是,397
97,吃,390
98,什麼,388
99,個,387
100,或,387
101,,386
102,長,376
103,看到,376
104,最,372
105,—,369
106,啊,363
107,2,360
108,沒有,357
109,台灣,356
110,之,351
111,錢,347
112,日,343
113,大,341
114,陳,337
115,這,334
116,隻,333
117,3,332
118,工作,329
119,1,328
120,...,326
121,發現,325
122,(,324
123,),321
124,嗎,316
125,讚,315
126,但是,314
127,能,314
128,喜歡,313
129,如果,313
130,；,312
131,完,310
132,10,308
133,做,300
134,》,295
135,”,295
136,《,295
137,8,294
138,小,294
139,不過,292
140,出去,292
141,馬,292
142,並,291
143,所以,287
144,喔,287
145,以,286
146,“,281
147,時候,278
148,還是,277
149,或是,276
150,可能,276
151,已經,275
152,給,272
153,一直,267
154,很多,267
155,臺,266
156,公司,264
157,5,264
158,一,262
159,曾,258
160,是不是,258
161,蹤,257
162,按,256
163,不要,255
164,們,255
165,當時,254
166,想到,254
167,小編,250
168,由,249
169,甚至,248
170,雖然,248
171,用,247
