,0,1,2
0,http://www.twgreatdaily.com/cat92/node1697861,龍珠超力量大會各宇宙的八位最強王牌，悟空實力進不了前三？,ackfun
1,http://www.twgreatdaily.com/cat92/node1697770,龍珠：孫悟空打不贏就開掛，反派人物最害怕的三種大招,ackfun
2,http://www.twgreatdaily.com/cat92/node1698106,俄羅斯妹子被封「多面神」，cosplay神技火遍外網,ackfun
3,http://www.twgreatdaily.com/cat92/node1698128, 比起反對更多的是困惑，《你的名字》好萊塢真人版不如當成無關的全新作品,ackfun
4,http://www.twgreatdaily.com/cat92/node1698135,獸人亂戰，1 月新番《Killing Bites》公開 PV 與聲優陣容,ackfun
5,http://www.twgreatdaily.com/cat92/node1698140,大家一起飆車，To Love 10 周年紀念本眾多知名漫畫家將獻上賀圖,ackfun
6,http://www.twgreatdaily.com/cat92/node1698142,又是異世界的美食，網絡小說《異世界居酒屋》動畫化（更新視覺圖）,ackfun
7,http://www.twgreatdaily.com/cat92/node1698147,1 月 12 日起播出，《封神演義》新動畫公開標題、先導預告與追加聲優陣 ...,ackfun
8,http://www.twgreatdaily.com/cat92/node1698149,重大發表與製作委員會的版權標記，《湯搖莊的幽奈同學》動畫化妥了,ackfun
9,http://www.twgreatdaily.com/cat92/node1698151,性感可愛！東條希萬聖節魔女裝手辦開訂,ackfun
10,http://www.twgreatdaily.com/cat92/node1697690,全中啊！不想承認也不行了…11個「25歲前 VS. 25歲後」的超明顯變 ...,ackfun
11,http://www.twgreatdaily.com/cat92/node1697479,海賊王漫畫最新情報～【884話·是誰？】,ackfun
12,http://www.twgreatdaily.com/cat92/node1697182,龍珠，悟空VS合體戰士能撐幾秒？這貨真正的目標其實是吉連！,ackfun
13,http://www.twgreatdaily.com/cat92/node1696681,龍珠，這才是真正無敵的存在！盤點七場合體戰士大亂斗！,ackfun
14,http://www.twgreatdaily.com/cat92/node1697236,火影：傲嬌佐助實力打臉，不僅陪小櫻玩起了戀愛遊戲，還結婚生子了！,ackfun
15,http://www.twgreatdaily.com/cat92/node1697485,龍珠超：悟飯將成為最後的贏家，因為大家都忽略了這條法則！,ackfun
16,http://www.twgreatdaily.com/cat92/node1697511,揭秘10 位「曉組織」成員的超扯「實際年齡」！原來小南比鼬還要更老！,ackfun
17,http://www.twgreatdaily.com/cat92/node1697034,動漫主角變強所需付出的代價，禿頭算什麼，第六個已經舍棄了人形,ackfun
18,http://www.twgreatdaily.com/cat92/node1696686,龍珠超：除了貝吉特，還有4人使用坡塔拉耳環合體,ackfun
19,http://www.twgreatdaily.com/cat92/node1697486,龍珠超在後續的劇情里，武天老師一定會給我們帶來更精彩的戰鬥,ackfun
20,http://www.twgreatdaily.com/cat92/node1697487,龍珠超：來自官方編劇的最新劇透！人造人17號的重頭戲即將來襲！,ackfun
21,http://www.twgreatdaily.com/cat92/node1696526,海賊王：三將星斯慕吉出場！大戰之後，娜美毫髮無傷還洗了個澡？,ackfun
22,http://www.twgreatdaily.com/cat92/node1695232,《龍珠超》合體賽亞人激戰自在極意功悟空力量大會最後的亂斗,ackfun
23,http://www.twgreatdaily.com/cat92/node1695286,龍珠超新一集再現戰鬥力系統崩潰 悟空苦練N久不敵對戰幾分鐘,ackfun
24,http://www.twgreatdaily.com/cat92/node1696227,龍珠，悟空的超一和超四才算真正的變身？其他形態只是提升了力量,ackfun
25,http://www.twgreatdaily.com/cat92/node1695278,龍珠，傳說中的超級賽亞人淪為戰五渣？布羅利無敵形象毀於一旦！,ackfun
26,http://www.twgreatdaily.com/cat92/node1696186,龍珠，超三悟空其實就掌握了自在極意功：只是被吉連激發了出來？,ackfun
27,http://www.twgreatdaily.com/cat92/node1695170,龍珠超：吉連的強大勁敵出現，全新合體戰士登場,ackfun
28,http://www.twgreatdaily.com/cat92/node1696091,「為何《唐紅的戀歌》要讓平次與和葉挑大樑？」只能說青山剛昌實在很懂讀者的 ...,ackfun
29,http://www.twgreatdaily.com/cat92/node1696093,「為何新一不想變回柯南！」看完這 9 張圖你就懂了,ackfun
30,http://www.twgreatdaily.com/cat92/node1695483,最早完全控制尾獸的人柱力是？？？？,ackfun
31,http://www.twgreatdaily.com/cat92/node1695270,龍珠超第七宇宙面臨最大危機 比克被淘汰後17、18號也將步後塵,ackfun
32,http://www.twgreatdaily.com/cat92/node1696228,龍珠超在120集預告接下來17號應該展示自己的真正實力了,ackfun
33,http://www.twgreatdaily.com/cat92/node1696105,讓你毛骨悚然的 5 大經典恐怖驚悚動漫 ，看完再不敢一個人睡覺！ – 動 ...,ackfun
34,http://www.twgreatdaily.com/cat92/node1696099,有生之年終於看到了《名偵探柯南》劇情的重大突破，看完這 3 張圖你就懂了 ...,ackfun
35,http://www.twgreatdaily.com/cat92/node1695859,人氣聲優試音落選的比例也很高，悠木碧竹達彩奈活動上談自己參加動畫試音趣事,ackfun
36,http://www.twgreatdaily.com/cat92/node1695096,迪士尼公主們卸掉臉上全部的妝之後…這根本是兩個完全不同的人了吧！,ackfun
37,http://www.twgreatdaily.com/cat92/node1695864, 新的動畫還是漫畫完結？東京喰種:re 漫畫將迎來重大發表（東京喰種:r ...,ackfun
38,http://www.twgreatdaily.com/cat92/node1695870, 最低工資標準，PA 2018 年春季新員工採用時薪制度,ackfun
39,http://www.twgreatdaily.com/cat92/node1695469,淺談東方project①：蕾米莉亞,ackfun
40,http://www.twgreatdaily.com/cat92/node1694472,宇智波富岳的萬花筒出場最少，但比鼬神還強,ackfun
41,http://www.twgreatdaily.com/cat92/node1693907,龍珠，耳環合體力量終於被揭秘，合體戰士凱芙拉將吊打吉連？,ackfun
42,http://www.twgreatdaily.com/cat92/node1693912,龍珠超真是越亂越好看了，屬於正宗龍珠的孫悟空超級賽亞人3登場,ackfun
43,http://www.twgreatdaily.com/cat92/node1694699,當了26年哆啦A夢.小叮噹.大山羨代患失智「它是誰」引淚崩.元祖聲優如今 ...,ackfun
44,http://www.twgreatdaily.com/cat92/node1694811,火影忍者：霧隱村七把忍刀最廢的一把，誰用誰倒楣！,ackfun
45,http://www.twgreatdaily.com/cat92/node1694372,龍珠超：象帕是最渣的破壞神，5個細節看出象帕到底有多渣！,ackfun
46,http://www.twgreatdaily.com/cat92/node1694136,火影忍者：真正土豪的六個人，你認識哪幾個？,ackfun
47,http://www.twgreatdaily.com/cat92/node1693909,龍珠，史上堪稱妖孽級五位賽亞人，天賦甩悟空、貝吉塔幾百條街！,ackfun
48,http://www.twgreatdaily.com/cat92/node1693713,海賊王：路飛遭圍毆，娜美被欺負！名刀白魚慢斬巴姆大王！,ackfun
49,http://www.twgreatdaily.com/cat92/node1694215,信不信，這只超萌的「山寨皮卡丘」正在日本瘋狂走紅,ackfun
