,code_str,name_str,name_trans
0,tab_news,图文,圖文
1,tab_video,视频咖,視頻咖
2,tab_settings,设定,設定
3,loading,等待刷新...,等待刷新…
4,loading_result,已刷新d%条新闻,已刷新d%條新聞
5,last_view,"上次阅读到这里,点击查看新内容",上次閱讀到這裡，點擊查看新內容
6,settings_push,推波通知,推播通知
7,settings_autostart,自动轮播,自動輪播
8,settings_autostart_4g,3G/4G下自动播放,3G/4G下自動播放
9,settings_lockscreen,锁屏播放,鎖屏播放
10,settings_mail,爆料邮箱,爆料郵箱
11,settings_service,服务条款,服務條款
12,settings_privacy,隐私权政策,隱私權政策
13,settings_version,版本资讯,版本訊息
14,close_title,"我想关闭这条消息,原因是:",我想關閉這條消息，因為：
15,close_reason1,不感兴趣,不感興趣
16,close_reason2,质量不高,品質不高
17,close_reason3,重复出现,重複出現
18,net_error,"没有网络连接,请稍后再试",沒有網絡連接，請稍後再試
19,retry,重试,重試
20,replay,重播,重播
21,play_next_title,接下来播放,接下來播放
22,play_next_btn,播放下一条,下一則
23,share,分享,分享
24,share_line_fail,"您设备上未安装LINE,可以通过facebook分享你的快乐","您設備上未安裝LINE,可以通過facebook分享你的快樂"
25,share_fb,前往facebook,前往facebook
26,cancel,取消,取消
27,feeds_detail_font,字体大小,字體大小
28,feeds_detail_l,大,大
29,feeds_detail_s,小,小
30,feeds_click_update,网络不给力，点击屏幕重试,網絡不給力，點擊屏幕重試
31,feeds_list_container_tag,feeds_list_container_tag,feeds_list_container_tag
32,facebook_app_id,545115075840190 ,545115075840190 
