,code_str,name_str
0,internationalui_call_process_country_china,China
1,internationalui_call_process_calling,Calling
2,internationalui_call_process_record,Record
3,internationalui_call_process_redial,Redial
4,internationalui_call_process_recharge,Recharge
5,internationalui_call_process_mute,Mute
6,internationalui_call_process_speaker,Speaker
7,internationalui_disconnect_close,Close
8,internationalui_disconnect_redial,Redial
9,internationalui_login_head_title,Create Account 
10,internationalui_country_input_hint,Country
11,internationalui_country_code_input_hint,Code
12,internationalui_phone_input_hint,Enter your phone number
13,internationalui_validation_code_input_hint,Enter verify code
14,internationalui_validation_code_query_hint,Verify phone number
15,internationalui_validation_code_requery,Resend
16,internationalui_validation_code_countdown,%d seconds
17,internationalui_network_unavailable,No network connection
18,internationalui_loading_text,Loading
19,internationalui_verification_over_limit,Beyond limitations - only three of verify codes per day
20,internationalui_verification_phone_format_error,Incorrect format of number
21,internationalui_verification_phone_number_error,Incorrect number
22,internationalui_verification_phone_input_invalid_error,Invalid number
23,internationalui_verification_send_ok,Already sent
24,internationalui_login_verification_expired,Verify code expired
25,internationalui_login_code_input_insuffient,Please provide either password or verify code
26,internationalui_login_data_not_found,User doesn°Øt exist
27,internationalui_login_authorize_fail,Wrong verify code
28,internationalui_login_no_permission,Permission denied
29,internationalui_network_other,Network request exception
30,internationalui_number_invalid_hint,Please check your phone number
31,internationalui_login_page_start_hint,Login
32,internationalui_logout,Log out
33,internationalui_captcha_message_template,Your verification code: (\\d{4})
34,internationalui_login_country_code_dialog_title,Attention
35,internationalui_login_country_code_dialog_message,Please select the country code
36,internationalui_login_country_code_dialog_ok,Ok
37,internationalui_select_country_head_title,Select Your Country
38,internationalui_country_search_hint,Search
39,internationalui_country_search_nothing_found,"Sorry, nothing found"
40,internationalui_personal_center_head_title,My Info
41,internationalui_personal_center_slogan,Login and enjoy dialing!
42,internationalui_call_rates,Call Rates
43,internationalui_invite_friends,Invite Friends
44,internationalui_international_free_call,Make a phone call now
45,internationalui_personal_center_credits,My Credits
46,internationalui_personal_center_recharge,Top up
47,internationalui_personal_center_recharge_title,Recharge
48,internationalui_personal_center_cloud_roaming,Cloud Roaming
49,internationalui_personal_center_check_update_app,Version
50,internationalui_personal_center_feedback,Feedback
51,internationalui_call_rate_head_title,Call Rate
52,internationalui_call_rate_search_hint,Please enter country and code
53,internationalui_call_rate_column_code,Code
54,internationalui_call_rate_column_country,Countries and regions
55,internationalui_call_rate_column_credit_per_minute,Credits/Min
56,internationalui_call_msg_warning_country_code,Please verify the country code for the phone: %s
57,internationalui_call_msg_choose_country,Choose country
58,internationalui_cost_list_head_title,Cost Detail
59,internationalui_cost_list_my_credits_text,My Credits
60,internationalui_cost_list_recharge_history_title,Recharge History
61,internationalui_cost_list_cost_history_title,Cost History
