,code_str,name_str
0,internationalui_call_process_country_china,中国
1,internationalui_call_process_calling,呼叫
2,internationalui_call_process_record,录音
3,internationalui_call_process_redial,回拨
4,internationalui_call_process_recharge,充值
5,internationalui_call_process_mute,静音
6,internationalui_call_process_speaker,免提
7,internationalui_disconnect_close,关闭
8,internationalui_disconnect_redial,重拨
9,internationalui_login_head_title,登录注册
10,internationalui_country_input_hint,国家
11,internationalui_country_code_input_hint,区号
12,internationalui_phone_input_hint,请填写您的手机号码
13,internationalui_validation_code_input_hint,输入验证码
14,internationalui_validation_code_query_hint,获取验证码
15,internationalui_validation_code_requery,重新发送
16,internationalui_validation_code_countdown,%d 秒
17,internationalui_network_unavailable,没有网络连接
18,internationalui_loading_text,加载中
19,internationalui_verification_over_limit,验证码发送超限
20,internationalui_verification_phone_format_error,手机号码格式错误
21,internationalui_verification_phone_number_error,手机号码错误
22,internationalui_verification_phone_input_invalid_error,无效的手机号码
23,internationalui_verification_send_ok,获取验证码的请求已成功发送！
24,internationalui_login_verification_expired,验证码过期
25,internationalui_login_code_input_insuffient,密码和验证码，二者至少提供一个
26,internationalui_login_data_not_found,账户不存在
27,internationalui_login_authorize_fail,验证码错误
28,internationalui_login_no_permission,权限不足
29,internationalui_network_other,网络请求异常
30,internationalui_number_invalid_hint,请输入正确的手机号码
31,internationalui_login_page_start_hint,登录
32,internationalui_logout,退出登录
33,internationalui_captcha_message_template,Your verification code: (\\d{4})
34,internationalui_login_country_code_dialog_title,友情提示
35,internationalui_login_country_code_dialog_message,请先选择国家区号
36,internationalui_login_country_code_dialog_ok,确定
37,internationalui_select_country_head_title,请选择您的国家
38,internationalui_country_search_hint,搜索国家码
39,internationalui_country_search_nothing_found,很抱歉，未找到
40,internationalui_personal_center_head_title,个人中心
41,internationalui_personal_center_slogan,登录 & 即刻与小伙伴畅打免费电话!
42,internationalui_call_rates,拨打资费
43,internationalui_invite_friends,邀请好友
44,internationalui_international_free_call,现在就打一通电话试试
45,internationalui_personal_center_credits,我的积点
46,internationalui_personal_center_recharge,积点充值
47,internationalui_personal_center_recharge_title,充值
48,internationalui_personal_center_cloud_roaming,云漫游
49,internationalui_personal_center_check_update_app,版本
50,internationalui_personal_center_feedback,反馈
51,internationalui_call_rate_head_title,拨打资费
52,internationalui_call_rate_search_hint,请输入国家名字或是区号
53,internationalui_call_rate_column_code,国家码
54,internationalui_call_rate_column_country,国家及地区
55,internationalui_call_rate_column_credit_per_minute,积分/分钟
56,internationalui_call_msg_warning_country_code,请确认您的号码包含区号: %s
57,internationalui_call_msg_choose_country,选择区号
58,internationalui_cost_list_head_title,扣费详情
59,internationalui_cost_list_my_credits_text,我的积分
60,internationalui_cost_list_recharge_history_title,充值记录
61,internationalui_cost_list_cost_history_title,扣费记录
62,internationalui_cost_list_no_history,无历史记录
63,internationalui_cost_list_recharge_order,订单 
64,internationalui_cost_list_cloud_roaming_purchase_order,云漫游订单 
65,internationalui_cost_list_loading_more_date,...
66,internationalui_cost_list_loading_no_more_date,无更多历史数据
67,internationalui_international_brand_delare_title,本服务由Touchpal提供
68,internationalui_feedback_putinbutton_log_only,仅上传日志
69,internationalui_dlg_standard_title,提示
70,internationalui_pro_apk_mandatory_update,TP dialer全面优化，您需要升级到新版本后才可以继续使用
71,internationalui_pref_software_version,软件版本
72,internationalui_pref_update_software_title,软件更新
73,internationalui_update_uptodate,检测新版本
74,internationalui_update_title,发现新版本
75,internationalui_update_checking,更新检测中
76,internationalui_update_no_network,网络连接失败
77,internationalui_update_ongoing,后台正在更新程序
78,internationalui_update_dialog_btn_text_update_now,立即更新
79,internationalui_update_dialog_btn_text_install_now,立即安装
80,internationalui_update_dialog_btn_text_later,以后再说
81,internationalui_download_app_failed_no_space,存储空间不足，无法下载
82,internationalui_download_app_in_progress,新版应用程序正在下载…
83,internationalui_download_app_in_progress2,正在下载应用：%s
84,internationalui_download_app_failed,"下载失败, 请连接网络后点击重新下载"
85,internationalui_download_app_success,应用程序下载成功
86,internationalui_download_app_background,免费升级
87,internationalui_download_app_background_normal,普通下载
88,internationalui_download_app_background_high_speed,高速下载
89,internationalui_download_app_percentage,应用程序下载: 
90,internationalui_download_app_percentage2,下载%s: 
91,internationalui_presentation_update,升级日志
92,internationalui_presentation_ing,正在
93,internationalui_dialog_logout_msg,您确定要登出么？
94,internationalui_dialog_btn_msg_sure,确定
95,internationalui_dialog_btn_msg_cancel,取消
96,internationalui_dialog_title_msg,友情提示
97,internationalui_service_policy_area_agree_text,"如需使用TP Dialer, 请您阅读并遵守"
98,internationalui_service_policy_area_and_text,及
99,internationalui_service_policy_area_privicy_policy_text,隐私政策
100,internationalui_service_policy_area_terms_of_service_text,用户协议
101,internationalui_service_policy_head_title,服务条款
102,internationalui_dialog_title_tip,触宝提示
103,internationalui_goto_recharge,去充值
104,internationalui_activate,激活账户
105,internationalui_advices,意见建议
106,internationalui_bug_report,问题反馈
107,internationalui_optimization,优化改进
108,internationalui_tips_error_phone_number,号码格式有误
109,internationalui_feedback_content_hint,您的反馈很重要，我们会认真聆听......
110,internationalui_feedback_email,邮箱地址
111,internationalui_feedback_email_hint,电子邮件
112,internationalui_feedback_phone,手机号码
113,internationalui_feedback_phone_hint,手机号码（选填）
114,internationalui_feedback_putinbutton,提交
115,internationalui_voip_brand,问题反馈由Touchpal提供支持
116,internationalui_braintree_purchase_best_discount_head_title,折扣季充值
117,internationalui_braintree_purchase_final_price,总价
118,internationalui_braintree_purchase_price_save,已优惠: %1$s %2$.2f
119,internationalui_braintree_purchase_submit,确认下单
120,internationalui_braintree_purchase_order_loading,正在生成订单...
121,internationalui_braintree_purchase_checkout_success,支付成功
122,internationalui_braintree_purchase_checkout_failed,支付失败
123,internationalui_braintree_purchase_checkout_canceled,订单已取消
124,internationalui_braintree_purchase_braintree_setup_failed,支付平台初始化失败
125,internationalui_braintree_purchase_order_failed,交易失败
126,internationalui_braintree_purchase_order_param_error,订单参数缺失
127,internationalui_braintree_purchase_developer_error,支付认证
128,internationalui_braintree_purchase_server_error,支付平台网关错误
129,internationalui_braintree_purchase_server_unavailable,支付平台正在进行维护
130,internationalui_feedback_title,问题反馈
131,internationalui_log_upload_success,日志上传成功
132,internationalui_feedback_noti1,提交成功，感谢您的反馈
133,internationalui_feedback_noti2,提交失败，网络异常，请检查网络设置
134,internationalui_feedback_noti3,请输入您的问题与反馈
135,internationalui_feedback_noti4,您已超过1500字数限制，请修改后再提交
136,internationalui_feedback_noti5,请输入正确的邮箱账号
137,internationalui_feedback_noti6,请输入正确的手机号
138,internationalui_feedback_tips_invalid_contact,请填写邮箱或手机号码
139,internationalui_disconnect_error_accounterr,账户异常，请过24小时后再拨打
140,internationalui_disconnect_error_accoutrepeat,账户异常，请勿反复拨打
141,internationalui_disconnect_error_actionerr,账户违规操作，无法再拨打免费电话
142,internationalui_disconnect_error_area,免费电话暂不支持该地区
143,internationalui_disconnect_error_busy,线路正忙，请稍后再打
144,internationalui_disconnect_error_checknet,请检查网络，或重拨
145,internationalui_disconnect_error_decline,对方不在线，暂不支持免费电话
146,internationalui_disconnect_error_locationerr,获取定位失败
147,internationalui_disconnect_error_neterror,网络异常，请检查网络，重新拨打
148,internationalui_disconnect_error_nomoney,积点已用完
149,internationalui_disconnect_error_normalcall,网络异常，换普通电话或稍候联系Ta
150,internationalui_disconnect_error_nottpaccount,对方也是触宝用户才能拨打
151,internationalui_disconnect_error_restart,请重启电话
152,internationalui_disconnect_error_routeerr,线路问题，暂不支持该座机
153,internationalui_disconnect_error_serverrestart,服务器异常，请重启电话应用
154,internationalui_disconnect_error_serverunknow,服务器找不到，请重拨
155,internationalui_disconnect_error_versionlow,当前版本过低，请升级应用
156,internationalui_disconnect_error_normal,通话结束
157,internationalui_disconnect_error_comment_busy,对方忙\n不方便接听
158,internationalui_disconnect_error_comment_no_answer,对方无应答
159,internationalui_permission_noti_audio,请赋予TP Dialer麦克风权限
160,internationalui_voip_call_noti7,暂不支持主被叫号码相同
161,internationalui_dialog_nevernotify,不再提醒
162,internationalui_tips_use_country_calling_code,%s拨打
163,internationalui_voip_notification_incall,通话中(%s)
164,internationalui_voip_notification_outgoing,正在呼叫…
165,internationalui_voip_notification_incoming,对方来电，点击查看
166,internationalui_country_token_invalid_error,无效token
167,internationalui_recharge_select_phonenumber,选择充值号码
168,internationalui_stripe_money_lable,总价
169,internationalui_stripe_money,%s USD
170,internationalui_stripe_totle_money,需要支付金额
171,internationalui_stripe_title,支付
172,internationalui_stripe_card_number_lable,信用卡卡号
173,internationalui_stripe_card_number_hint,请输入您的卡号
174,internationalui_stripe_expire_date_lable,失效日期
175,internationalui_stripe_expire_date_hint,请选择失效日期
176,internationalui_stripe_card_cvc_lable,CVC
177,internationalui_stripe_card_cvc_hint,请输入卡背面后三位数字
178,internationalui_stripe_card_msg_error,信息验证失败，请检查输入信息是否正确
179,internationalui_stripe_pay_loading_msg,支付中，请稍后
180,internationalui_stripe_pay_btn_sure,确认支付
181,internationalui_charge_result_exception,支付请求异常，请稍后查看我的积点
182,internationalui_charge_create_token_exception,生成支付凭证失败
183,internationalui_date_pick_format_year,%s年
184,internationalui_date_pick_format_month,%s月
