,code_str,name_str
0,keyboard_mode_qwert,全键盘
1,keyboard_mode_num,9键
2,keyboard_copy,粘贴
3,internayional_splash_firt_title,音质稳定清晰
4,internayional_splash_firt_desc,不管相隔多远，确保通话质量
5,internayional_splash_sec_title,畅拨全球号码
6,internayional_splash_sec_desc,包含任意国家手机和固话
7,internayional_splash_thrd_title,省出一部手机钱
8,internayional_splash_thrd_desc,资费远远低于各大运营商
9,splash_skip,跳过
10,splash_login,立即登录
11,conact_detail_edit,编辑
12,super_search_hint,搜索
13,dialer_dialog_cancel,取消
14,dialer_dialog_ensure,确定
15,dialer_dialog_call_forward,拨打电话
16,internation_best_discount,折扣季
17,international_profile,个人中心
18,international_conacts,联系人
19,dialer_call_record,通话记录
20,international_dialer,拨号
21,contacts_no_permission,请检查系统权限
22,contacts_no_empty,没有获取到联系人
23,calllog_no_empty,没有获取到通话记录
24,permission_noti_contacts,请赋予TP Dialer通讯录权限
25,permission_noti_phone,请赋予TP Dialer电话权限
26,contacts_add_fail,添加联系人失败
27,contacts_edit_fail,编辑联系人失败
28,phonepad_copy_none,没有可粘贴内容
29,voip_sign_with_mobile,手机号码登录
30,voip_login_with_twitter,用Twitter账号登录
31,voip_login_with_facebook,用Facebook账号登录
32,voip_login_with_google,用Google账号登录
